ExistingAccountStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,CurrentEmplymentStatus,InstallmentRate,PersonalStatusAndSex,OtherGuarantors,DurationInCurrentResidence,Property,Age,OtherInstallment,Housing,ExistingCredits,Job,PeopleLiable,Telephone,ForeignWorker,Sex,Marital_Status,ClassificationStatus
None,6,critical account/ other credits existing (not at this bank),Radio/TV,1169,None,Above 7 Years,4,"Male, Single",None,4,Real Estate,67,None,Own,2,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,48,existing credits paid back duly till now ,Radio/TV,5951,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,2,Real Estate,22,None,Own,1,Skilled,1,no,yes,Female,Divorced,0
No Account,12,critical account/ other credits existing (not at this bank),Education,2096,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,3,Real Estate,49,None,Own,1,Unskilled Resident,2,no,yes,Male,Single,1
None,42,existing credits paid back duly till now ,Furniture,7882,Below 100 DM,"[4, 7) Years",2,"Male, Single",Guarantor,4,Life Insurance,45,None,Free,1,Skilled,2,no,yes,Male,Single,1
None,24,delay in paying off in the past ,Car (New),4870,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,4,None,53,None,Free,2,Skilled,2,no,yes,Male,Single,0
No Account,36,existing credits paid back duly till now ,Education,9055,None,"[1, 4) Years",2,"Male, Single",None,4,None,35,None,Free,1,Unskilled Resident,2,yes,yes,Male,Single,1
No Account,24,existing credits paid back duly till now ,Furniture,2835,"[500, 1000) DM",Above 7 Years,3,"Male, Single",None,4,Life Insurance,53,None,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,36,existing credits paid back duly till now ,Car (Used),6948,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,35,None,Rent,1,Executive,1,yes,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Radio/TV,3059,Above 1000 DM,"[4, 7) Years",2,"Male, Divorced",None,4,Real Estate,61,None,Own,1,Unskilled Resident,1,no,yes,Male,Divorced,1
Below 200 DM,30,critical account/ other credits existing (not at this bank),Car (New),5234,Below 100 DM,Unemployed,4,"Male, Married/Widowed",None,2,Car,28,None,Own,2,Executive,1,no,yes,Male,Married/Widowed,0
Below 200 DM,12,existing credits paid back duly till now ,Car (New),1295,Below 100 DM,<1 Year,3,"Female, Divorced",None,1,Car,25,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
None,48,existing credits paid back duly till now ,Business,4308,Below 100 DM,<1 Year,3,"Female, Divorced",None,4,Life Insurance,24,None,Rent,1,Skilled,1,no,yes,Female,Divorced,0
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,1567,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",None,1,Car,22,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
None,24,critical account/ other credits existing (not at this bank),Car (New),1199,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,Car,60,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,0
None,15,existing credits paid back duly till now ,Car (New),1403,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,4,Car,28,None,Rent,1,Skilled,1,no,yes,Female,Divorced,1
None,24,existing credits paid back duly till now ,Radio/TV,1282,"[100, 500) DM","[1, 4) Years",4,"Female, Divorced",None,2,Car,32,None,Own,1,Unskilled Resident,1,no,yes,Female,Divorced,0
No Account,24,critical account/ other credits existing (not at this bank),Radio/TV,2424,None,Above 7 Years,4,"Male, Single",None,4,Life Insurance,53,None,Own,2,Skilled,1,no,yes,Male,Single,1
None,30,no credits taken/ all credits paid back duly ,Business,8072,None,<1 Year,2,"Male, Single",None,3,Car,25,Bank,Own,3,Skilled,1,no,yes,Male,Single,1
Below 200 DM,24,existing credits paid back duly till now ,Car (Used),12579,Below 100 DM,Above 7 Years,4,"Female, Divorced",None,2,None,44,None,Free,1,Executive,1,yes,yes,Female,Divorced,0
No Account,24,existing credits paid back duly till now ,Radio/TV,3430,"[500, 1000) DM",Above 7 Years,3,"Male, Single",None,2,Car,31,None,Own,1,Skilled,2,yes,yes,Male,Single,1
No Account,9,critical account/ other credits existing (not at this bank),Car (New),2134,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,Car,48,None,Own,3,Skilled,1,yes,yes,Male,Single,1
None,6,existing credits paid back duly till now ,Radio/TV,2647,"[500, 1000) DM","[1, 4) Years",2,"Male, Single",None,3,Real Estate,44,None,Rent,1,Skilled,2,no,yes,Male,Single,1
None,10,critical account/ other credits existing (not at this bank),Car (New),2241,Below 100 DM,<1 Year,1,"Male, Single",None,3,Real Estate,48,None,Rent,2,Unskilled Resident,2,no,no,Male,Single,1
Below 200 DM,12,critical account/ other credits existing (not at this bank),Car (Used),1804,"[100, 500) DM",<1 Year,3,"Male, Single",None,4,Life Insurance,44,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,10,critical account/ other credits existing (not at this bank),Furniture,2069,None,"[1, 4) Years",2,"Male, Married/Widowed",None,1,Car,26,None,Own,2,Skilled,1,no,no,Male,Married/Widowed,1
None,6,existing credits paid back duly till now ,Furniture,1374,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,2,Real Estate,36,Bank,Own,1,Unskilled Resident,1,yes,yes,Male,Single,1
No Account,6,no credits taken/ all credits paid back duly ,Radio/TV,426,Below 100 DM,Above 7 Years,4,"Male, Married/Widowed",None,4,Car,39,None,Own,1,Unskilled Resident,1,no,yes,Male,Married/Widowed,1
Above 200 DM,12,all credits at this bank paid back duly ,Radio/TV,409,Above 1000 DM,"[1, 4) Years",3,"Female, Divorced",None,3,Real Estate,42,None,Rent,2,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,7,existing credits paid back duly till now ,Radio/TV,2415,Below 100 DM,"[1, 4) Years",3,"Male, Single",Guarantor,2,Real Estate,34,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,60,delay in paying off in the past ,Business,6836,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,None,63,None,Own,2,Skilled,1,yes,yes,Male,Single,0
Below 200 DM,18,existing credits paid back duly till now ,Business,1913,Above 1000 DM,<1 Year,3,"Male, Married/Widowed",None,3,Real Estate,36,Bank,Own,1,Skilled,1,yes,yes,Male,Married/Widowed,1
None,24,existing credits paid back duly till now ,Furniture,4020,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,27,Stores,Own,1,Skilled,1,no,yes,Male,Single,1
Below 200 DM,18,existing credits paid back duly till now ,Car (New),5866,"[100, 500) DM","[1, 4) Years",2,"Male, Single",None,2,Car,30,None,Own,2,Skilled,1,yes,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Business,1264,None,Above 7 Years,4,"Male, Single",None,4,None,57,None,Rent,1,Unskilled Resident,1,no,yes,Male,Single,1
Above 200 DM,12,existing credits paid back duly till now ,Furniture,1474,Below 100 DM,<1 Year,4,"Female, Divorced",None,1,Life Insurance,33,Bank,Own,1,Executive,1,yes,yes,Female,Divorced,1
Below 200 DM,45,critical account/ other credits existing (not at this bank),Radio/TV,4746,Below 100 DM,<1 Year,4,"Male, Single",None,2,Life Insurance,25,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,0
No Account,48,critical account/ other credits existing (not at this bank),Education,6110,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,3,None,31,Bank,Free,1,Skilled,1,yes,yes,Male,Single,1
Above 200 DM,18,existing credits paid back duly till now ,Radio/TV,2100,Below 100 DM,"[1, 4) Years",4,"Male, Single",Co-Applicant,2,Real Estate,37,Stores,Own,1,Skilled,1,no,yes,Male,Single,0
Above 200 DM,10,existing credits paid back duly till now ,Appliances,1225,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,37,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,9,existing credits paid back duly till now ,Radio/TV,458,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,3,Real Estate,24,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,30,existing credits paid back duly till now ,Radio/TV,2333,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,2,Car,30,Bank,Own,1,Executive,1,no,yes,Male,Single,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,1158,"[500, 1000) DM","[1, 4) Years",3,"Male, Divorced",None,1,Car,26,None,Own,1,Skilled,1,yes,yes,Male,Divorced,1
Below 200 DM,18,delay in paying off in the past ,Repairs,6204,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,4,Real Estate,44,None,Own,1,Unskilled Resident,2,yes,yes,Male,Single,1
None,30,critical account/ other credits existing (not at this bank),Car (Used),6187,"[100, 500) DM","[4, 7) Years",1,"Male, Married/Widowed",None,4,Car,24,None,Rent,2,Skilled,1,no,yes,Male,Married/Widowed,1
None,48,critical account/ other credits existing (not at this bank),Car (Used),6143,Below 100 DM,Above 7 Years,4,"Female, Divorced",None,4,None,58,Stores,Free,2,Unskilled Resident,1,no,yes,Female,Divorced,0
No Account,11,critical account/ other credits existing (not at this bank),Car (New),1393,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Car,35,None,Own,2,Executive,1,no,yes,Female,Divorced,1
No Account,36,existing credits paid back duly till now ,Radio/TV,2299,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,4,Car,39,None,Own,1,Skilled,1,no,yes,Male,Single,1
None,6,existing credits paid back duly till now ,Car (Used),1352,"[500, 1000) DM",Unemployed,1,"Female, Divorced",None,2,Life Insurance,23,None,Rent,1,"Unemployed, Unskilled",1,yes,yes,Female,Divorced,1
No Account,11,critical account/ other credits existing (not at this bank),Car (New),7228,Below 100 DM,"[1, 4) Years",1,"Male, Single",None,4,Life Insurance,39,None,Own,2,Unskilled Resident,1,no,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Radio/TV,2073,"[100, 500) DM","[1, 4) Years",4,"Female, Divorced",Co-Applicant,2,Real Estate,28,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,24,delay in paying off in the past ,Furniture,2333,None,<1 Year,4,"Male, Single",None,2,Life Insurance,29,Bank,Own,1,Unskilled Resident,1,no,yes,Male,Single,1
Below 200 DM,27,delay in paying off in the past ,Car (Used),5965,Below 100 DM,Above 7 Years,1,"Male, Single",None,2,Car,30,None,Own,2,Executive,1,yes,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Radio/TV,1262,Below 100 DM,"[1, 4) Years",3,"Male, Single",None,2,Car,25,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Car (Used),3378,None,"[1, 4) Years",2,"Male, Single",None,1,Life Insurance,31,None,Own,1,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,36,delay in paying off in the past ,Car (New),2225,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,57,Bank,Free,2,Skilled,1,yes,yes,Male,Single,0
No Account,6,all credits at this bank paid back duly ,Car (New),783,None,"[1, 4) Years",1,"Male, Single",Guarantor,2,Real Estate,26,Stores,Own,1,Unskilled Resident,2,no,yes,Male,Single,1
Below 200 DM,12,existing credits paid back duly till now ,Radio/TV,6468,None,Unemployed,2,"Male, Single",None,1,None,52,None,Own,1,Executive,1,yes,yes,Male,Single,0
No Account,36,critical account/ other credits existing (not at this bank),Radio/TV,9566,Below 100 DM,"[1, 4) Years",2,"Female, Divorced",None,2,Car,31,Stores,Own,2,Skilled,1,no,yes,Female,Divorced,1
Above 200 DM,18,existing credits paid back duly till now ,Car (New),1961,Below 100 DM,Above 7 Years,3,"Female, Divorced",None,2,Car,23,None,Own,1,Executive,1,no,yes,Female,Divorced,1
None,36,critical account/ other credits existing (not at this bank),Furniture,6229,Below 100 DM,<1 Year,4,"Female, Divorced",Co-Applicant,4,None,23,None,Rent,2,Unskilled Resident,1,yes,yes,Female,Divorced,0
Below 200 DM,9,existing credits paid back duly till now ,Business,1391,Below 100 DM,"[1, 4) Years",2,"Male, Married/Widowed",None,1,Real Estate,27,Bank,Own,1,Skilled,1,yes,yes,Male,Married/Widowed,1
Below 200 DM,15,critical account/ other credits existing (not at this bank),Radio/TV,1537,None,Above 7 Years,4,"Male, Single",Guarantor,4,Real Estate,50,None,Own,2,Skilled,1,yes,yes,Male,Single,1
Below 200 DM,36,no credits taken/ all credits paid back duly ,Business,1953,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,61,None,Free,1,Executive,1,yes,yes,Male,Single,0
Below 200 DM,48,no credits taken/ all credits paid back duly ,Business,14421,Below 100 DM,"[1, 4) Years",2,"Male, Single",None,2,Car,25,None,Own,1,Skilled,1,yes,yes,Male,Single,0
No Account,24,existing credits paid back duly till now ,Radio/TV,3181,Below 100 DM,<1 Year,4,"Female, Divorced",None,4,Life Insurance,26,None,Own,1,Skilled,1,yes,yes,Female,Divorced,1
No Account,27,existing credits paid back duly till now ,Repairs,5190,None,Above 7 Years,4,"Male, Single",None,4,Life Insurance,48,None,Own,4,Skilled,2,yes,yes,Male,Single,1
No Account,12,existing credits paid back duly till now ,Radio/TV,2171,Below 100 DM,<1 Year,2,"Female, Divorced",None,2,Car,29,Bank,Own,1,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,12,existing credits paid back duly till now ,Car (New),1007,Above 1000 DM,"[1, 4) Years",4,"Male, Married/Widowed",None,1,Real Estate,22,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,1
No Account,36,existing credits paid back duly till now ,Education,1819,Below 100 DM,"[1, 4) Years",4,"Male, Single",None,4,None,37,Stores,Free,1,Skilled,1,yes,yes,Male,Single,0
No Account,36,existing credits paid back duly till now ,Radio/TV,2394,None,"[1, 4) Years",4,"Female, Divorced",None,4,Car,25,None,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,36,existing credits paid back duly till now ,Car (Used),8133,Below 100 DM,"[1, 4) Years",1,"Female, Divorced",None,2,Life Insurance,30,Bank,Own,1,Skilled,1,no,yes,Female,Divorced,1
No Account,7,critical account/ other credits existing (not at this bank),Radio/TV,730,None,Above 7 Years,4,"Male, Single",None,2,Life Insurance,46,None,Rent,2,Unskilled Resident,1,yes,yes,Male,Single,1
None,8,critical account/ other credits existing (not at this bank),Others,1164,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,None,51,Bank,Free,2,Executive,2,yes,yes,Male,Single,1
Below 200 DM,42,critical account/ other credits existing (not at this bank),Business,5954,Below 100 DM,"[4, 7) Years",2,"Female, Divorced",None,1,Real Estate,41,Bank,Own,2,Unskilled Resident,1,no,yes,Female,Divorced,1
None,36,existing credits paid back duly till now ,Education,1977,None,Above 7 Years,4,"Male, Single",None,4,None,40,None,Own,1,Executive,1,yes,yes,Male,Single,0
None,12,critical account/ other credits existing (not at this bank),Car (Used),1526,Below 100 DM,Above 7 Years,4,"Male, Single",None,4,None,66,None,Free,2,Executive,1,no,yes,Male,Single,1
None,42,existing credits paid back duly till now ,Radio/TV,3965,Below 100 DM,<1 Year,4,"Male, Single",None,3,Car,34,None,Own,1,Skilled,1,no,yes,Male,Single,0
Below 200 DM,11,delay in paying off in the past ,Radio/TV,4771,Below 100 DM,"[4, 7) Years",2,"Male, Single",None,4,Life Insurance,51,None,Own,1,Skilled,1,no,yes,Male,Single,1
No Account,54,no credits taken/ all credits paid back duly ,Car (Used),9436,None,"[1, 4) Years",2,"Male, Single",None,2,Life Insurance,39,None,Own,1,Unskilled Resident,2,no,yes,Male,Single,1
Below 200 DM,30,existing credits paid back duly till now ,Furniture,3832,Below 100 DM,<1 Year,2,"Male, Married/Widowed",None,1,Life Insurance,22,None,Own,1,Skilled,1,no,yes,Male,Married/Widowed,1
No Account,24,existing credits paid back duly till now ,Radio/TV,5943,None,<1 Year,1,"Female, Divorced",None,1,Car,44,None,Own,2,Skilled,1,yes,yes,Female,Divorced,0
No Account,15,existing credits paid back duly till now ,Radio/TV,1213,"[500, 1000) DM",Above 7 Years,4,"Male, Single",None,3,Life Insurance,47,Stores,Own,1,Skilled,1,yes,yes,Male,Single,1
No Account,18,existing credits paid back duly till now ,Business,1568,"[100, 500) DM","[1, 4) Years",3,"Female, Divorced",None,4,Life Insurance,24,None,Rent,1,Unskilled Resident,1,no,yes,Female,Divorced,1
None,24,existing credits paid back duly till now ,Others,1755,Below 100 DM,Above 7 Years,4,"Female, Divorced",Guarantor,4,Real Estate,58,None,Own,1,Unskilled Resident,1,yes,yes,Female,Divorced,1
None,10,existing credits paid back duly till now ,Radio/TV,2315,Below 100 DM,Above 7 Years,3,"Male, Single",None,4,Real Estate,52,None,Own,1,Unskilled Resident,1,no,yes,Male,Single,1
No Account,12,critical account/ other credits existing (not at this bank),Business,1412,Below 100 DM,"[1, 4) Years",4,"Female, Divorced",Guarantor,2,Real Estate,29,None,Own,2,Executive,1,yes,yes,Female,Divorced,1
Below 200 DM,18,critical account/ other credits existing (not at this bank),Furniture,1295,Below 100 DM,<1 Year,4,"Female, Divorced",None,1,Life Insurance,27,None,Own,2,Skilled,1,no,yes,Female,Divorced,1
Below 200 DM,36,existing credits paid back duly till now ,Education,12612,"[100, 500) DM","[1, 4) Years",1,"Male, Single",None,4,None,47,None,Free,1,Skilled,2,yes,yes,Male,Single,0
None,18,existing credits paid back duly till now ,Car (New),2249,"[100, 500) DM","[4, 7) Years",4,"Male, Single",None,3,Car,30,None,Own,1,Executive,2,yes,yes,Male,Single,1
